id,x,y,shape,year,Degree,Random walk betweenness centrality,Betweenness centrality,Average neighbor degree,Clustering coef,index,iso3,name,gross import,constantGDP_percapita,corruption_index,GINI,per capita GDP growth,Trade % of GDP,gov_expend_on_health_%GDP,FDI_inflow_%GDP,gov_expend_on_educ_%GDP,tetrietary_school_enrollment,natural_resource_rents_%GDP,ICT_goods_export%exports,R&D_expenditues%GDP,domestic_credit_to_private_sector%GDP,Region Name,Sub-region Name,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Developed / Developing Countries,WTO,herfindahl index,log_Gdp
2,0.556,0.7286,0.5000,2000,101,0.00705243951031888,0.00027546579685223504,136.96039603960395,0.9415841584158415,AL,ALB,Albania,1069512.2870000007,2244.63,23.86,,7.63,38.85,2.72,4.11,3.43,15.54,1.09,0.39,,4.95,Europe,Southern Europe,0,0,0,1.0,1,2112.6913330804973,7.716295975903157
44,0.5046,0.6557,0.5000,2000,141,0.010450458057775289,0.0024661331043703445,124.34751773049645,0.8055724417426545,DZ,DZA,Algeria,9060888.723000001,3557.58,18.78,,2.4,56.95,2.51,0.51,,,24.31,0.01,,5.97,Africa,Northern Africa,0,0,0,0.0,0,960.5955366150968,8.1768358174132
1,0.5496,0.4378,0.5000,2000,63,0.005031018524179337,7.871680936094438e-05,141.04761904761904,0.9605734767025089,AO,AGO,Angola,,2195.63,1.52,52.0,-0.27,120.06,1.11,9.62,2.61,,56.13,,,2.01,Africa,Sub-Saharan Africa,1,0,0,0.0,1,,7.694224300273405
6,0.3283,0.5948,0.5000,2000,97,0.007045571591325242,0.0003207134290697373,135.91752577319588,0.9327749140893471,AG,ATG,Antigua and Barbuda,289487.97199999995,13184.91,82.23,,4.81,55.29,2.52,5.19,,,0.0,39.06,,58.36,Americas,Latin America and the Caribbean,0,0,1,0.0,1,3493.500497871538,9.486828272825523
4,0.3233,0.2866,0.5000,2000,146,0.010035590132573992,0.0020845987948556566,125.45205479452055,0.8212564950401512,AR,ARG,Argentina,24307022.452,8224.11,50.25,51.1,-1.87,18.12,4.63,3.67,4.58,53.96,2.42,0.36,0.44,23.89,Americas,Latin America and the Caribbean,0,0,0,0.0,1,1245.5739383071152,9.014825363091877
5,0.6251,0.7226,0.5000,2000,91,0.0067296301366388265,0.0002289428264268305,136.1978021978022,0.9416361416361416,AM,ARM,Armenia,830607.431,1404.32,27.41,,6.57,61.52,0.95,5.45,2.77,35.55,0.36,0.36,0.19,9.95,Asia,Western Asia,0,1,0,0.0,1,761.2725344067895,7.247308478843808
7,0.8716,0.3596,0.5000,2000,157,0.012061766592062166,0.004171995200018589,120.69426751592357,0.7611464968152867,AU,AUS,Australia,67444406.59200002,44334.39,93.91,,2.7,32.61,5.21,3.59,4.89,,3.26,2.85,1.58,87.74,Oceania,Australia and New Zealand,0,0,0,1.0,1,846.2945816964026,10.699515952838208
8,0.5404,0.764,0.5000,2000,160,0.012621604097296854,0.004841101960811913,119.35,0.7443396226415094,AT,AUT,Austria,65454452.48100003,42001.21,92.89,28.8,3.13,71.19,6.83,4.32,5.59,,0.15,6.16,1.89,,Europe,Western Europe,0,0,0,1.0,1,1945.746478554922,10.645453706374328
9,0.6322,0.723,0.5000,2000,103,0.007619632016731348,0.0005435103862004953,133.8252427184466,0.9112887873596041,AZ,AZE,Azerbaijan,1165794.2380000001,1658.81,4.57,,10.19,55.32,0.87,2.46,3.85,,33.94,0.14,0.34,5.9,Asia,Western Asia,0,1,0,0.0,0,856.1727355791015,7.41385575680836
17,0.285,0.6391,0.5000,2000,111,0.0077796805208409986,0.0005340945111137651,133.36936936936937,0.9123669123669124,BS,BHS,Bahamas,1899692.238,31570.53,86.8,,2.76,32.81,1.92,3.1,2.23,,0.01,0.41,,44.81,Americas,Latin America and the Caribbean,0,0,1,0.0,0,8242.070306256976,10.359979369501078
