Clustering_coef,Degree,Developed / Developing Countries,FDI_inflow_GDP,GINI,ICT_goods_export,Land Locked Developing Countries (LLDC),Least Developed Countries (LDC),Population,Population_growth,RD_expenditures_GDP,Region Name,Small Island Developing States (SIDS),Sub-region Name,Trade_GDP,Trade_bn_usd,WTO,constantGDP_percapita,corruption_index,domestic_credit_to_private_sector_GDP,gov_expend_on_educ_GDP,gov_expend_on_health_GDP,gross_import,id,index,iso3,life_expectancy,log_Gdp,name,natural_resource_rents_GDP,per_capita_GDP_growth,secondary_educ_gross_enrollment,shape,x,y,year,herfindahl index,Pop_MA,Pop_gr_MA,Trade_MA,life_exp_MA,gdp_MA,gdp_gr_MA,corup_MA,FDI_MA,clus_MA,herf_MA
4.5589654511724834e-05,1352891.4960000007,1.0,4.11,,0.39,0.0,0.0,3089027.0,-0.64,,Europe,0.0,Southern Europe,38.85,1.3528914960000007,1.0,2244.63,23.86,4.95,3.43,2.72,1067394.0560000006,2,AL,ALB,73.96,7.716295975903157,Albania,1.09,7.63,71.08,0.5000,0.556,0.7286,2000,2121.070242676312,3148281.2,-0.626,39.172000000000004,72.86800000000001,7.51121365109117,7.313999999999998,,,,
5.108410101326323e-05,1663885.4740000004,1.0,5.29,,0.48,0.0,0.0,3060173.0,-0.94,,Europe,0.0,Southern Europe,41.66,1.6638854740000004,1.0,2453.63,,6.28,3.46,2.7,1307561.1910000003,2,AL,ALB,74.29,7.805323839657149,Albania,0.73,9.31,72.54,0.5000,0.556,0.7286,2001,1859.6532561219806,3128529.8,-0.63,39.286,73.22,7.5664094554932175,6.036,,,,
5.866686027599046e-05,1821550.338,1.0,3.1,31.7,0.46,0.0,0.0,3051010.0,-0.3,,Europe,0.0,Southern Europe,42.41,1.821550338,1.0,2572.73,23.74,6.55,3.12,2.65,1463686.209,2,AL,ALB,74.58,7.852722870903068,Albania,0.76,4.85,72.87,0.5000,0.556,0.7286,2002,1876.8362489984365,3106957.8,-0.694,40.46,73.578,7.6207493856815445,5.941999999999998,,,,
6.390816283085898e-05,2278326.9990000003,1.0,3.17,,0.75,0.0,0.0,3039616.0,-0.37,,Europe,0.0,Southern Europe,41.2,2.2783269990000004,1.0,2725.18,24.24,7.73,3.14,2.6,1807952.3610000003,2,AL,ALB,74.83,7.910289759961677,Albania,0.76,5.93,75.24,0.5000,0.556,0.7286,2003,1754.9932999836587,3087503.6,-0.6279999999999999,41.99,73.926,7.706445391128872,8.983999999999998,,,,
6.708610177286481e-05,2812193.2859999994,1.0,4.75,,0.47,0.0,0.0,3026939.0,-0.42,,Europe,0.0,Southern Europe,40.56,2.8121932859999994,1.0,2887.38,27.32,9.72,3.23,3.05,2256384.5969999996,2,AL,ALB,75.04,7.968104795524915,Albania,0.78,5.95,74.8,0.5000,0.556,0.7286,2004,1616.9358934560107,3069720.8,-0.576,42.108000000000004,74.25,7.7854725588812865,8.266,,,,
6.885957033588128e-05,3160712.4209999996,1.0,3.26,30.6,0.59,0.0,0.0,3011487.0,-0.51,,Europe,0.0,Southern Europe,40.71,3.1607124209999995,1.0,3062.68,22.93,15.47,3.28,2.67,2546610.250999999,2,AL,ALB,75.23,8.027045628635975,Albania,1.05,6.07,77.91,0.5000,0.556,0.7286,2005,1383.107180622782,3053353.0,-0.534,40.936,74.54,7.850547448389994,6.734,,4.0840000000000005,5.726697608094047e-05,1845.8977882472798
7.343970533504604e-05,3662901.5819999985,1.0,3.65,,0.88,0.0,0.0,2992547.0,-0.63,,Europe,0.0,Southern Europe,43.28,3.6629015819999986,1.0,3263.91,22.93,22.41,3.19,2.58,2939656.6109999986,2,AL,ALB,75.42,8.090681142174429,Albania,1.43,6.57,79.19,0.5000,0.556,0.7286,2006,1321.085479610842,3037845.0,-0.5079999999999999,41.30800000000001,74.79400000000001,7.912697378936558,6.422,,3.914,6.192095924577175e-05,1698.3051758365734
8.040362068960913e-05,4990165.038999998,1.0,6.11,,0.82,0.0,0.0,2970017.0,-0.76,0.09,Europe,0.0,Southern Europe,49.36,4.990165038999998,1.0,3485.33,28.64,30.03,3.28,2.65,3977552.398999999,2,AL,ALB,75.65,8.156318010246814,Albania,2.17,6.78,82.2,0.5000,0.556,0.7286,2007,1274.9935254152815,3024319.8,-0.4459999999999999,41.632000000000005,75.02000000000001,7.969768839440013,5.874,24.232,3.586,6.639208011012831e-05,1590.5916205343456
9.839808567323186e-05,6120500.211416122,1.0,9.68,30.0,0.57,0.0,0.0,2947314.0,-0.77,0.15,Europe,0.0,Southern Europe,51.25,6.120500211416122,1.0,3775.59,33.5,35.44,,4.12,4874260.319,2,AL,ALB,75.91,8.236311940861627,Albania,1.63,8.33,84.13,0.5000,0.556,0.7286,2008,1259.4108419142344,3008121.2,-0.5379999999999999,43.022000000000006,75.23400000000002,8.030487867308763,6.26,25.212000000000003,4.188,7.073943219285205e-05,1470.2230758177143
9.326434905067605e-05,5406923.377492635,1.0,11.17,,0.85,0.0,0.0,2927519.0,-0.67,,Europe,0.0,Southern Europe,46.86,5.406923377492634,1.0,3928.46,35.41,38.21,,4.08,4316607.613,2,AL,ALB,76.22,8.27600277056073,Albania,0.98,4.05,85.69,0.5000,0.556,0.7286,2009,1222.9533708777824,2989660.8,-0.6179999999999999,45.032000000000004,75.45000000000003,8.095692303488752,6.739999999999999,27.064,5.489999999999999,7.763741676132662e-05,1371.1065842038297
8.609817459672624e-05,5761513.098332898,1.0,9.14,,0.84,0.0,0.0,2913021.0,-0.5,,Europe,0.0,Southern Europe,49.89,5.761513098332898,1.0,4094.36,36.19,39.08,,4.47,4206295.113,2,AL,ALB,76.56,8.317365695916616,Albania,2.03,4.22,88.1,0.5000,0.556,0.7286,2010,1329.3472300814885,2969776.8,-0.6679999999999999,46.29200000000001,75.68600000000002,8.157271898495916,6.3599999999999985,28.682,6.773999999999999,8.287306621688887e-05,1292.310079688184
9.394673200494398e-05,6851822.738098925,1.0,8.14,,0.52,0.0,0.0,2905195.0,-0.27,,Europe,0.0,Southern Europe,56.86,6.851822738098925,1.0,4209.89,26.54,41.15,,4.27,4953535.128000003,2,AL,ALB,76.91,8.345191798069045,Albania,3.46,2.82,89.8,0.5000,0.556,0.7286,2011,1414.0026171498996,2950083.6,-0.6659999999999998,48.128,75.95200000000003,8.215335911952042,5.989999999999999,31.333999999999996,7.95,8.632078706905786e-05,1281.5580895799253
8.748212483424529e-05,6328862.434396616,1.0,7.45,29.0,0.39,0.0,0.0,2900401.0,-0.17,,Europe,0.0,Southern Europe,55.57,6.328862434396616,1.0,4276.62,27.49,40.8,,4.06,4388491.583000001,2,AL,ALB,77.25,8.360918256956861,Albania,3.6,1.59,92.29,0.5000,0.556,0.7286,2012,1553.309410706315,2932613.2,-0.5939999999999999,50.844,76.25000000000001,8.266238043130965,5.239999999999999,32.056,8.848,9.042219240303745e-05,1300.1415170877367
9.00454087663728e-05,6789454.148059985,1.0,9.82,,0.36,0.0,0.0,2895092.0,-0.18,,Europe,0.0,Southern Europe,56.82,6.789454148059985,1.0,4327.39,27.01,39.79,3.54,4.31,4430765.201,2,AL,ALB,77.55,8.372719867894256,Albania,3.58,1.19,96.26,0.5000,0.556,0.7286,2013,1615.0977552585196,2918690.0,-0.4759999999999998,52.086,76.57000000000001,8.307158092472976,4.201999999999999,31.826,9.116000000000001,9.18378932319647e-05,1355.8046941459436
8.378897792478442e-05,5216952.906270726,1.0,8.69,34.6,0.07,0.0,0.0,2889104.0,-0.21,,Europe,0.0,Southern Europe,57.84,5.216952906270726,1.0,4413.31,34.62,39.26,,4.43,2845180.1370000006,2,AL,ALB,77.81,8.39238025379985,Albania,3.57,1.99,97.68,0.5000,0.556,0.7286,2014,2350.9317924233937,2908245.6,-0.3579999999999998,53.2,76.898,8.334439677879502,2.773999999999999,30.528,9.144000000000002,9.016735785059289e-05,1426.9420768148007
7.742088914525266e-05,5266021.856045053,1.0,8.69,32.9,0.79,0.0,0.0,2880703.0,-0.29,,Europe,0.0,Southern Europe,54.62,5.266021856045053,1.0,4524.39,38.46,37.15,3.44,4.43,3400168.231,2,AL,ALB,78.03,8.417238040416962,Albania,1.81,2.52,97.39,0.5000,0.556,0.7286,2015,1743.870311761096,2900562.6,-0.26599999999999985,55.396,77.21600000000001,8.357715174527325,2.361999999999999,30.369999999999997,8.648,8.827228362541456e-05,1652.537761123923
8.06950617155235e-05,5503122.717691207,1.0,8.8,33.7,0.27,0.0,0.0,2876101.0,-0.16,,Europe,0.0,Southern Europe,55.41,5.503122717691207,1.0,4681.84,40.87,36.63,3.96,4.38,3575777.7420000006,2,AL,ALB,78.19,8.451446474036773,Albania,1.05,3.48,95.72,0.5000,0.556,0.7286,2016,1735.9624287121185,2894099.0,-0.22399999999999984,56.342000000000006,77.51,8.377689643427395,2.0219999999999994,30.824,8.558,8.653682653511985e-05,1735.4423774598447
