,source,target,weight,year,index,name
0,USA,CAN,216.09926309,2000,1,USA - CAN
1,CAN,USA,151.87154056999998,2000,2,CAN - USA
2,USA,JPN,142.49084334,2000,3,USA - JPN
3,USA,MEX,130.11683028,2000,4,USA - MEX
4,MEX,USA,126.12194063,2000,5,MEX - USA
5,USA,CHN,98.87681818,2000,6,USA - CHN
6,HKG,CHN,91.729557,2000,7,HKG - CHN
7,JPN,USA,70.67262537,2000,8,JPN - USA
8,USA,DEU,55.76437209,2000,9,USA - DEU
9,JPN,CHN,54.66387157,2000,10,JPN - CHN
10,USA,CAN,279.58796714,2005,1,USA - CAN
11,USA,CHN,256.94292738999997,2005,2,USA - CHN
12,CAN,USA,174.31822118,2005,3,CAN - USA
13,USA,MEX,165.83651613,2005,4,USA - MEX
14,USA,JPN,137.8687333,2005,5,USA - JPN
15,HKG,CHN,134.90609117,2005,6,HKG - CHN
16,MEX,USA,118.66566694,2005,7,MEX - USA
17,JPN,CHN,107.67997498,2005,8,JPN - CHN
18,CHN,JPN,100.17329186,2005,9,CHN - JPN
19,USA,DEU,83.53201858,2005,10,USA - DEU
20,USA,CHN,379.01704828,2010,1,USA - CHN
21,USA,CAN,270.47226913,2010,2,USA - CAN
22,USA,MEX,225.21393953999998,2010,3,USA - MEX
23,HKG,CHN,197.03362421,2010,4,HKG - CHN
24,CAN,USA,193.0883687,2010,5,CAN - USA
25,CHN,JPN,176.25332994,2010,6,CHN - JPN
26,JPN,CHN,151.57360947,2010,7,JPN - CHN
27,MEX,USA,143.87671941,2010,8,MEX - USA
28,CHN,KOR,137.94038534999999,2010,9,CHN - KOR
29,USA,JPN,120.39456471,2010,10,USA - JPN
30,USA,CHN,498.42320098000005,2015,1,USA - CHN
31,USA,MEX,290.13200418,2015,2,USA - MEX
32,USA,CAN,285.01513408,2015,3,USA - CAN
33,HKG,CHN,261.06866829,2015,4,HKG - CHN
34,CAN,USA,216.82776213999998,2015,5,CAN - USA
35,MEX,USA,182.99297225,2015,6,MEX - USA
36,CHN,KOR,174.50396041,2015,7,CHN - KOR
37,JPN,CHN,158.95952161000002,2015,8,JPN - CHN
38,CHN,USA,148.65092178999998,2015,9,CHN - USA
39,CHN,JPN,142.89326011000003,2015,10,CHN - JPN
